search_score,dqn_score,search_steps,dqn_steps,search_rewards,dqn_rewards
0,9,501,185,490,215
2,15,501,288,508,372
1,24,501,485,499,650
2,10,501,182,508,221
3,17,501,317,517,419
6,24,501,444,544,609
4,9,501,186,526,216
3,15,501,282,517,366
0,21,501,383,490,521
10,26,391,501,430,724
3,22,501,468,517,615
0,13,501,243,490,309
0,13,501,268,490,334
3,28,501,497,517,698
0,17,501,277,490,379
10,10,501,168,580,207
0,13,501,254,490,320
0,31,501,487,490,715
0,14,501,202,490,277
0,22,501,391,490,538
0,15,501,302,490,386
4,14,501,281,526,356
0,20,501,449,490,578
0,16,501,274,490,367
0,20,501,366,490,495
0,17,501,264,490,366
0,22,501,471,490,618
6,12,501,228,544,285
14,21,501,400,616,538
2,27,501,501,508,733
